"numero_correlativo,""tipo_societario"",""descripcion_tipo_societario"",""razon_social"",""dada_de_baja"",""codigo_baja"",""detalle_baja"",""cuit"""
"10,""10"",""SOCIEDAD COLECTIVA"",""A A VALLE Y COMPAÑIA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"11,""10"",""SOCIEDAD COLECTIVA"",""A LUCERO Y H CARATOLI"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"12,""10"",""SOCIEDAD COLECTIVA"",""A PUIG E HIJOS"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"13,""10"",""SOCIEDAD COLECTIVA"",""A C I C A"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"14,""10"",""SOCIEDAD COLECTIVA"",""AÑON BEATRIZ S Y CIA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"",""34999032089"""
"15,""10"",""SOCIEDAD COLECTIVA"",""ABA DIESEL"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"16,""10"",""SOCIEDAD COLECTIVA"",""ABADA L JOSE Y JORGE JOSE ABADAL"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"17,""10"",""SOCIEDAD COLECTIVA"",""ABADAL JOSE E HIJO"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"18,""10"",""SOCIEDAD COLECTIVA"",""ABATE Y MACIAS"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"19,""10"",""SOCIEDAD COLECTIVA"",""ABEL H AMOROSO Y LUCIO A MORACA"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
"20,""10"",""SOCIEDAD COLECTIVA"",""ACAPULCO TEXTIL"",""S"",""42014"",""PERTENECE A REGISTRO ENTIDADES INACTIVAS"","""""
