cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio
"30500000127,SEGUROS SURA S.A,1912-04-30-10:43,SOCIEDAD ANONIMA,2024-07-01-14:08,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,""PERON, JUAN TTE.GRAL."",430,6,, 1038,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,""GRIERSON,CECILIA BOULEVARD"",255,1,, 1107,DECLARADO"
30500000747,BANCO COMERCIAL DE TRES ARROYOS S A,1906-09-01-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,BUENOS AIRES,TRES ARROYOS,BETOLAZA,189,,, 7500,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,TRES ARROYOS,AV MORENO,300,,, 7500,NO CONFIRMADO
30500001042,BANCO COMERCIAL DEL TANDIL S A,1964-03-21-00:00,SOCIEDAD ANONIMA,2024-02-22-13:51,,BUENOS AIRES,TANDIL,GRAL PINTO,602,,, 7000,DECLARADO,BUENOS AIRES,TANDIL,GRAL PINTO,602,,, 7000,NO CONFIRMADO
30500001115,BOSTON COMPAÑIA ARGENTINA DE SEGUROS S A,1925-02-19-11:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,03,, 1008,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,03,, 1008,DECLARADO
30500001352,BANCO DE CREDITO COMERCIAL,1913-03-10-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,SANTA FE,SANTA FE,SAN MARTIN,2498,,, 3000,INEXISTENTE - DESCONOCIDO,SANTA FE,SANTA FE,SAN MARTIN,2498,,, 3000,NO CONFIRMADO
30500001662,S A BANCO DE ITALIA Y RIO DE LA  PLATA,1972-06-22-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,03,, 1003,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,03,, 1003,NO CONFIRMADO
30500001735,BANCO DE GALICIA Y BUENOS AIRES S A U,1905-09-28-10:43,SOCIEDAD ANONIMA UNIPERSONAL,2024-02-28-09:37,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,430,,, 1038,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,430,,, 1038,DECLARADO POR INTERNET
30500001808,BANCO DE AVELLANEDA S A,1911-07-20-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,546,04,, 1041,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,546,04,, 1041,NO CONFIRMADO
30500002030,LLOYDS BANK B L S A LIMITED,1962-09-27-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TRONADOR,4890,13,, 1430,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TRONADOR,4890,13,, 1430,CONFIRMADO
30500002103,BANCO DE OLAVARRIA S A,1900-06-07-00:00,SOCIEDAD ANONIMA,2024-02-22-13:42,,BUENOS AIRES,OLAVARRIA,VTE LOPEZ,2777,,, 7400,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,OLAVARRIA,VTE LOPEZ,2777,,, 7400,NO CONFIRMADO
30500002340,BANCO DE LA EDIFICADORA DE OLAVARRIA S A,1914-12-14-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,BUENOS AIRES,OLAVARRIA,RIVADAVIA,3000,,, 7400,CONFIRMADO,BUENOS AIRES,OLAVARRIA,RIVADAVIA,3000,,, 7400,CONFIRMADO
30500002588,BANCO DE SANTANDER SA,1999-06-26-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALEM LEANDRO N. AV.,356,13,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV LEANDRO N ALEM,356,13,, 1003,NO CONFIRMADO
30500002898,THE CHASE MANHATTAN BANK N A,1904-08-27-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARENALES,707,05,, 1061,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARENALES,707,05,, 1061,NO CONFIRMADO
30500003193,BANCO BBVA ARGENTINA S.A.,1986-12-06-12:00,SOCIEDAD ANONIMA,2024-07-01-14:09,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,111,27,, 1054,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,111,31,, 1054,DECLARADO POR INTERNET
30500003266,BANCO SUDAMERIS ARGENTINA SA,1912-10-03-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,500,,, 1038,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,500,,, 1038,NO CONFIRMADO
30500003339,NUMANCIA SEGUROS EN GENERAL SOCIEDAD ANONIMA,1931-10-29-00:00,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVEAR MARCELO T. DE,882,,, 1058,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVEAR MARCELO T. DE,882,,, 1058,NO CONFIRMADO
30500003401,THE ROYAL BANK OF SCOTLAND N V,1914-08-04-00:00,SUCURSAL EMPRESA EXTRANJERA,2024-01-01-11:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,710,1,, 1106,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,710,1,, 1106,DECLARADO POR INTERNET
30500003886,CBAL SOCIEDAD ANONIMA,1914-08-17-10:43,SUCURSAL EMPRESA EXTRANJERA,2024-06-03-14:04,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1365,7,C, 1053,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1365,7,C, 1053,DECLARADO POR INTERNET
30500004017,BANCO DE JUNIN S A,1927-03-23-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,BUENOS AIRES,JUNIN,ARIAS,1,,, 6000,CONFIRMADO,BUENOS AIRES,JUNIN,ARIAS,1,,, 6000,NO CONFIRMADO
